ID,Description,Category,Duration,Download Link
07020210,"Motorcycle Scrambling: Atmosphere at beginning of sidecar race starts 40"" in",Uncategorized,58228.299,https://sound-effects-media.bbcrewind.co.uk/zip/07020210.wav.zip?download&rename=BBC_Motorcycle_Scrambling__Atmosph_07020210
07032165,"Wolseley 1600cc, exterior, passes at 40 m.p.h.",Uncategorized,25840.544,https://sound-effects-media.bbcrewind.co.uk/zip/07032165.wav.zip?download&rename=BBC_Wolseley_1600cc__exterior__pas_07032165
07039099,"Crowd, interior, 40 men & women, cheering & applause.",Uncategorized,55929.433000000005,https://sound-effects-media.bbcrewind.co.uk/zip/07039099.wav.zip?download&rename=BBC_Crowd__interior__40_men___wome_07039099
07061067,Public swimming pool - 40 people lane swimming.,Uncategorized,180040,https://sound-effects-media.bbcrewind.co.uk/zip/07061067.wav.zip?download&rename=BBC_Public_swimming_pool___40_peop_07061067
07032164,"Vauxhall Velox, exterior, passes at 40 m.p.h. (1966 model.)",Uncategorized,36080,https://sound-effects-media.bbcrewind.co.uk/zip/07032164.wav.zip?download&rename=BBC_Vauxhall_Velox__exterior__pass_07032164
NHU10348872,water falling approx 40-90 ft over dam,Uncategorized,48173.333,https://sound-effects-media.bbcrewind.co.uk/zip/NHU10348872.wav.zip?download&rename=BBC_water_falling_approx_40_90_ft__NHU10348872
07007108,"40 week old baby girl, playing and shouting.",Uncategorized,95038.957,https://sound-effects-media.bbcrewind.co.uk/zip/07007108.wav.zip?download&rename=BBC_40_week_old_baby_girl__playing_07007108
07011264,"Exterior, passing at 40 mph. (1960 Ford Anglia)",Uncategorized,37306.712,https://sound-effects-media.bbcrewind.co.uk/zip/07011264.wav.zip?download&rename=BBC_Exterior__passing_at_40_mph____07011264
07039101,"Crowd, interior, 40 men & women, stamping feet & applause.",Uncategorized,23146.44,https://sound-effects-media.bbcrewind.co.uk/zip/07039101.wav.zip?download&rename=BBC_Crowd__interior__40_men___wome_07039101
07039100,"Crowd, interior, 40 men & women, ""hear hears"" & applause.",Uncategorized,13068.118,https://sound-effects-media.bbcrewind.co.uk/zip/07039100.wav.zip?download&rename=BBC_Crowd__interior__40_men___wome_07039100
07039102,"Crowd, interior, 40 men & women, cheering 3 ""Hip, Hip, Hoorays"".",Uncategorized,13661.678,https://sound-effects-media.bbcrewind.co.uk/zip/07039102.wav.zip?download&rename=BBC_Crowd__interior__40_men___wome_07039102
07054016,Cranes carrying 40 ton lengths from Continuous Casting Plant,Uncategorized,152173.333,https://sound-effects-media.bbcrewind.co.uk/zip/07054016.wav.zip?download&rename=BBC_Cranes_carrying_40_ton_lengths_07054016
07019172,"Baker Rifle, single shot fired. (In use c. 1800-40.)",Uncategorized,7440,https://sound-effects-media.bbcrewind.co.uk/zip/07019172.wav.zip?download&rename=BBC_Baker_Rifle__single_shot_fired_07019172
07018015,"Crowd of 40-50 men & women in hall, continuous serious indistinct speech.",Uncategorized,419538.63899999997,https://sound-effects-media.bbcrewind.co.uk/zip/07018015.wav.zip?download&rename=BBC_Crowd_of_40_50_men___women_in__07018015
07022302,"Renault 4 saloon, exterior, passing at 40 m.p.h. (1967 model.)",Uncategorized,28587.845999999998,https://sound-effects-media.bbcrewind.co.uk/zip/07022302.wav.zip?download&rename=BBC_Renault_4_saloon__exterior__pa_07022302
07008221,"Exterior, passing at 40 m.p.h. (Badly worn Sunbeam Rapier, 1962 model)",Uncategorized,20140,https://sound-effects-media.bbcrewind.co.uk/zip/07008221.wav.zip?download&rename=BBC_Exterior__passing_at_40_m_p_h__07008221
NHU05062121,"Mcu calls from a flock of around 40 birds, slight wind in trees.",Uncategorized,122915.01100000001,https://sound-effects-media.bbcrewind.co.uk/zip/NHU05062121.wav.zip?download&rename=BBC_Mcu_calls_from_a_flock_of_arou_NHU05062121
07018006,"Crowd of 40 women, in a hall, with some children. (Close perspective recording.)",Uncategorized,419139.592,https://sound-effects-media.bbcrewind.co.uk/zip/07018006.wav.zip?download&rename=BBC_Crowd_of_40_women__in_a_hall___07018006
07021075,"Girls' Grammar School, interior, indistinct chatter of 40 girls. (Wide perspective recording.)",Uncategorized,195868.662,https://sound-effects-media.bbcrewind.co.uk/zip/07021075.wav.zip?download&rename=BBC_Girls__Grammar_School__interio_07021075
07065105,"National newspaper printing press, chatter etc - hooter at 40"" - presses start up and gather speed.",Uncategorized,441746.667,https://sound-effects-media.bbcrewind.co.uk/zip/07065105.wav.zip?download&rename=BBC_National_newspaper_printing_pr_07065105
NHU1383-40,,Uncategorized,84026.667,https://sound-effects-media.bbcrewind.co.uk/zip/NHU1383-40.wav.zip?download&rename=BBC__NHU1383-40
NHU1384-40,,Uncategorized,48586.667,https://sound-effects-media.bbcrewind.co.uk/zip/NHU1384-40.wav.zip?download&rename=BBC__NHU1384-40
07018017,"Crowd of 40-50 men & women in a hall, angry shouting with occasional pauses.",Uncategorized,419309.478,https://sound-effects-media.bbcrewind.co.uk/zip/07018017.wav.zip?download&rename=BBC_Crowd_of_40_50_men___women_in__07018017
07018018,"Crowd of 40-50 men & women in a hall, loud & angry shouting with occasional pauses.",Uncategorized,418556.19,https://sound-effects-media.bbcrewind.co.uk/zip/07018018.wav.zip?download&rename=BBC_Crowd_of_40_50_men___women_in__07018018
NHU05095189,"Sound from a collection of about 40 pupae, although, probably no more than 2 or 3 are making sounds at any one time.",Uncategorized,104940,https://sound-effects-media.bbcrewind.co.uk/zip/NHU05095189.wav.zip?download&rename=BBC_Sound_from_a_collection_of_abo_NHU05095189
NHU05004100,Dawn chorus in forest. Calls from several. Insects & cicadas in b/g. Buzzing insect at 40 seconds. NB: This recording could also be used as a forest atmosphere.,Uncategorized,137048.526,https://sound-effects-media.bbcrewind.co.uk/zip/NHU05004100.wav.zip?download&rename=BBC_Dawn_chorus_in_forest__Calls_f_NHU05004100
NHU1384-41,,Uncategorized,41613.333,https://sound-effects-media.bbcrewind.co.uk/zip/NHU1384-41.wav.zip?download&rename=BBC__NHU1384-41
NHU1383-41,,Uncategorized,123026.667,https://sound-effects-media.bbcrewind.co.uk/zip/NHU1383-41.wav.zip?download&rename=BBC__NHU1383-41
07046162,"Enemy shell, mortar fire, MG 42 (nickname Spandau) machine gunfire in background - 1945 (500Y)",Uncategorized,81333.333,https://sound-effects-media.bbcrewind.co.uk/zip/07046162.wav.zip?download&rename=BBC_Enemy_shell__mortar_fire__MG_4_07046162
07046165,"MG 42 (nickname Spandau) machine gun, Bren gun, small arms fire, Bofor gunfire - 1945 (500X)",Uncategorized,144666.667,https://sound-effects-media.bbcrewind.co.uk/zip/07046165.wav.zip?download&rename=BBC_MG_42__nickname_Spandau__machi_07046165
07008107,"MG 42 (nickname Spandau) machine-gun, Bren gun, small arms fire, Bofor gunfire. World War II. (From 78 r.p.m. disc).",Uncategorized,181466.122,https://sound-effects-media.bbcrewind.co.uk/zip/07008107.wav.zip?download&rename=BBC_MG_42__nickname_Spandau__machi_07008107
07008116,"Enemy shell, mortar fire, MG 42 (nickname Spandau) machine gunfire in background. World War II. (From 78 r.p.m. disc)",Uncategorized,132720,https://sound-effects-media.bbcrewind.co.uk/zip/07008116.wav.zip?download&rename=BBC_Enemy_shell__mortar_fire__MG_4_07008116
NHU1383-42,,Uncategorized,74026.667,https://sound-effects-media.bbcrewind.co.uk/zip/NHU1383-42.wav.zip?download&rename=BBC__NHU1383-42
NHU1384-42,,Uncategorized,77146.66699999999,https://sound-effects-media.bbcrewind.co.uk/zip/NHU1384-42.wav.zip?download&rename=BBC__NHU1384-42
07007111,"43 week old baby girl, playing.",Uncategorized,76624.966,https://sound-effects-media.bbcrewind.co.uk/zip/07007111.wav.zip?download&rename=BBC_43_week_old_baby_girl__playing_07007111
07010169,"Hand-drilling in wood, countersinking from 43""",Uncategorized,84160,https://sound-effects-media.bbcrewind.co.uk/zip/07010169.wav.zip?download&rename=BBC_Hand_drilling_in_wood__counter_07010169
07011300,"Two footpumps operated, with pause between each. Footpump 'A' for 43"", pause, footpump 'B' for 58"". (Car accessory)",Uncategorized,107418.367,https://sound-effects-media.bbcrewind.co.uk/zip/07011300.wav.zip?download&rename=BBC_Two_footpumps_operated__with_p_07011300
07007112,"44 weeks old baby girl, playing",Uncategorized,126199.365,https://sound-effects-media.bbcrewind.co.uk/zip/07007112.wav.zip?download&rename=BBC_44_weeks_old_baby_girl__playin_07007112
07007113,"45 week old baby girl, playing",Uncategorized,117352.313,https://sound-effects-media.bbcrewind.co.uk/zip/07007113.wav.zip?download&rename=BBC_45_week_old_baby_girl__playing_07007113
07038142,"Ford Escort 1300, exterior, passing at 45 mph. (1300cc engine, manual transmission.)",Uncategorized,26080,https://sound-effects-media.bbcrewind.co.uk/zip/07038142.wav.zip?download&rename=BBC_Ford_Escort_1300__exterior__pa_07038142
07027179,"Revolver: 45 Long colt, 6 shots, outside, (used in the 'wild west').",Uncategorized,15730.249,https://sound-effects-media.bbcrewind.co.uk/zip/07027179.wav.zip?download&rename=BBC_Revolver__45_Long_colt__6_shot_07027179
07027178,"Revolver: 45 Long colt, single shot, outside, (used in the 'wild west').",Uncategorized,4000,https://sound-effects-media.bbcrewind.co.uk/zip/07027178.wav.zip?download&rename=BBC_Revolver__45_Long_colt__single_07027178
NHU05013042,Forest atmosphere with distinct bird calls. Recorded approximately 45 minutes after dawn. N.B. Exact date of this recording is unknown.,Uncategorized,122305.624,https://sound-effects-media.bbcrewind.co.uk/zip/NHU05013042.wav.zip?download&rename=BBC_Forest_atmosphere_with_distinc_NHU05013042
NHU05013043,Forest atmosphere with distinct calls including whistles & chattering sounds from a brubru shrike. Approx. 45 minutes after dawn. N.B. Exact date of this recording is unknown.,Uncategorized,47980.522,https://sound-effects-media.bbcrewind.co.uk/zip/NHU05013043.wav.zip?download&rename=BBC_Forest_atmosphere_with_distinc_NHU05013043
07007114,"46 week old baby girl, playing",Uncategorized,116003.265,https://sound-effects-media.bbcrewind.co.uk/zip/07007114.wav.zip?download&rename=BBC_46_week_old_baby_girl__playing_07007114
NHU05062164,"Mcu sub-song, Gambel's Quail in distance and insects, mcu calls with Cactus Wren in distance, display flight calls at 46"", more sub-song at end.",Uncategorized,137760,https://sound-effects-media.bbcrewind.co.uk/zip/NHU05062164.wav.zip?download&rename=BBC_Mcu_sub_song__Gambel_s_Quail_i_NHU05062164
07003015,"Royal Albert Hall: Applause, at 47"" tuning strings, at 1'23"" applause.",Uncategorized,116626.667,https://sound-effects-media.bbcrewind.co.uk/zip/07003015.wav.zip?download&rename=BBC_Royal_Albert_Hall__Applause__a_07003015
07007115,"48 week old baby girl, in temper.",Uncategorized,143269.229,https://sound-effects-media.bbcrewind.co.uk/zip/07007115.wav.zip?download&rename=BBC_48_week_old_baby_girl__in_temp_07007115
07058161,Quick tuning across 49 metre band,Uncategorized,44200,https://sound-effects-media.bbcrewind.co.uk/zip/07058161.wav.zip?download&rename=BBC_Quick_tuning_across_49_metre_b_07058161
07047036,"Applause, crowd of 50 people.",Uncategorized,12900,https://sound-effects-media.bbcrewind.co.uk/zip/07047036.wav.zip?download&rename=BBC_Applause__crowd_of_50_people__07047036
