ID,Description,Category,Duration,Download Link
NHU05093087,"Dawn in mainly deciduous woodland near marsh. First robins begin to sing, more cuckoos in b/g. Later calls from crows and very distant snipe and blackbirds.",Uncategorized,731426.6669999999,https://sound-effects-media.bbcrewind.co.uk/zip/NHU05093087.wav.zip?download&rename=BBC_Dawn_in_mainly_deciduous_woodl_NHU05093087
NHU05093102,"AUTUMN: MIDDAY With long tailed tits, Cetti's warbler, robin, firecrests, bee and rising fish",Uncategorized,284482.766,https://sound-effects-media.bbcrewind.co.uk/zip/NHU05093102.wav.zip?download&rename=BBC_AUTUMN__MIDDAY_With_long_taile_NHU05093102
NHU05093124,Cu alarm and attack calls at edge of colony. Sounds of a few common terns. Gulls in distance.,Uncategorized,219130.34,https://sound-effects-media.bbcrewind.co.uk/zip/NHU05093124.wav.zip?download&rename=BBC_Cu_alarm_and_attack_calls_at_e_NHU05093124
NHU05086065,Wingbeats with sea waves lapping in b/g,Uncategorized,25457.370000000003,https://sound-effects-media.bbcrewind.co.uk/zip/NHU05086065.wav.zip?download&rename=BBC_Wingbeats_with_sea_waves_lappi_NHU05086065
NHU05086067,Feeding young in old oil drum,Uncategorized,137095.23799999998,https://sound-effects-media.bbcrewind.co.uk/zip/NHU05086067.wav.zip?download&rename=BBC_Feeding_young_in_old_oil_drum_NHU05086067
NHU05086069,"LATE SPRING: AFTERNOON With eiders, arctic terns, oystercatchers, dunlin and skylark in b/g",Uncategorized,401713.83200000005,https://sound-effects-media.bbcrewind.co.uk/zip/NHU05086069.wav.zip?download&rename=BBC_LATE_SPRING__AFTERNOON_With_ei_NHU05086069
NHU05086076,Two pairs displaying,Uncategorized,192603.855,https://sound-effects-media.bbcrewind.co.uk/zip/NHU05086076.wav.zip?download&rename=BBC_Two_pairs_displaying_NHU05086076
NHU05086078,"Early morning: Late Spring With nightingale, Bonelli's warbler, great tit, whitethroat and field cricket chorus",Uncategorized,432778.141,https://sound-effects-media.bbcrewind.co.uk/zip/NHU05086078.wav.zip?download&rename=BBC_Early_morning__Late_Spring_Wit_NHU05086078
NHU05086079,Song CU,Uncategorized,53656.508,https://sound-effects-media.bbcrewind.co.uk/zip/NHU05086079.wav.zip?download&rename=BBC_Song_CU_NHU05086079
NHU05086081,Song CU Coal tit in b/g,Uncategorized,66918.00499999999,https://sound-effects-media.bbcrewind.co.uk/zip/NHU05086081.wav.zip?download&rename=BBC_Song_CU_Coal_tit_in_b_g_NHU05086081
NHU05086088,"Early Morning: Late Spring \ With spotless starlings, jackdaws, house sparrows and rooster",Uncategorized,312042.744,https://sound-effects-media.bbcrewind.co.uk/zip/NHU05086088.wav.zip?download&rename=BBC_Early_Morning__Late_Spring___W_NHU05086088
NHU05086094,"LATE SPRING: EARLY MORNING. With Cetti's warbler, cuckoo, nightingale, fan-tailed warbler and swallow.",Uncategorized,362978.957,https://sound-effects-media.bbcrewind.co.uk/zip/NHU05086094.wav.zip?download&rename=BBC_LATE_SPRING__EARLY_MORNING__Wi_NHU05086094
NHU05086095,Alarm scold of adult,Uncategorized,39585.578,https://sound-effects-media.bbcrewind.co.uk/zip/NHU05086095.wav.zip?download&rename=BBC_Alarm_scold_of_adult_NHU05086095
NHU05086096,"Flight calls mcu from a group of thirteen birds, hissy & slightly windy.",Uncategorized,50990.248999999996,https://sound-effects-media.bbcrewind.co.uk/zip/NHU05086096.wav.zip?download&rename=BBC_Flight_calls_mcu_from_a_group__NHU05086096
NHU05086117,Alarm flight calls of several,Uncategorized,19503.9,https://sound-effects-media.bbcrewind.co.uk/zip/NHU05086117.wav.zip?download&rename=BBC_Alarm_flight_calls_of_several_NHU05086117
NHU05086119,Several hovering,Uncategorized,60478.367,https://sound-effects-media.bbcrewind.co.uk/zip/NHU05086119.wav.zip?download&rename=BBC_Several_hovering_NHU05086119
NHU05086152,Flies buzzing around a rotting fish on river bank near forest. Torresian crow calls prominently in b/g. Distant calls from black-backed butcherbirds and cicadas.,Uncategorized,205077.959,https://sound-effects-media.bbcrewind.co.uk/zip/NHU05086152.wav.zip?download&rename=BBC_Flies_buzzing_around_a_rotting_NHU05086152
NHU05086163,"Morning. Open lowland rainforest. Several birds calling, mainly sulphur crested cockatoos. Cicadas in b/g at first.",Uncategorized,425633.22,https://sound-effects-media.bbcrewind.co.uk/zip/NHU05086163.wav.zip?download&rename=BBC_Morning__Open_lowland_rainfore_NHU05086163
NHU05087004,"Songs (rather distant) with goldfinches, wren and nuthatch",Uncategorized,45309.932,https://sound-effects-media.bbcrewind.co.uk/zip/NHU05087004.wav.zip?download&rename=BBC_Songs__rather_distant__with_go_NHU05087004
NHU05087005,"SPRING/SUMMER: DAY With collared dove (alighting calls and songs), blackbird, starlings, coal tit and house sparrows",Uncategorized,139579.32,https://sound-effects-media.bbcrewind.co.uk/zip/NHU05087005.wav.zip?download&rename=BBC_SPRING_SUMMER__DAY_With_collar_NHU05087005
